代码,名称,板块类型,板块名称,行业代码,行业名称
603003,,行业分类,申万行业,710301,公用事业
603658,,行业分类,申万行业,370504,医药生物
002676,,行业分类,申万行业,330601,医药生物
002329,,行业分类,申万行业,340702,医药生物
603657,,行业分类,申万行业,330601,医药生物
002669,,行业分类,申万行业,220317,未知行业
002668,,行业分类,申万行业,330106,医药生物
603020,,行业分类,申万行业,220315,未知行业
603021,,行业分类,申万行业,360311,医药生物
603022,,行业分类,申万行业,360206,医药生物
603626,,行业分类,申万行业,270504,未知行业
002341,,行业分类,申万行业,220505,未知行业
603615,,行业分类,申万行业,360311,医药生物
002656,,行业分类,申万行业,350209,医药生物
002654,,行业分类,申万行业,270302,未知行业
300171,,行业分类,申万行业,370502,医药生物
688118,,行业分类,申万行业,710401,公用事业
300246,,行业分类,申万行业,370502,医药生物
688089,,行业分类,申万行业,220315,未知行业
600844,,行业分类,申万行业,220205,未知行业
300282,,行业分类,申万行业,461103,机械设备
300247,,行业分类,申万行业,330701,医药生物
600777,,行业分类,申万行业,750101,公用事业
688086,,行业分类,申万行业,710103,公用事业
600746,,行业分类,申万行业,220205,未知行业
600779,,行业分类,申万行业,340501,医药生物
300294,,行业分类,申万行业,370302,医药生物
000968,,行业分类,申万行业,750101,公用事业
600759,,行业分类,申万行业,750101,公用事业
688139,,行业分类,申万行业,370502,医药生物
688158,,行业分类,申万行业,710301,公用事业
688013,,行业分类,申万行业,370503,医药生物
300289,,行业分类,申万行业,370504,医药生物
600735,,行业分类,申万行业,350303,医药生物
000973,,行业分类,申万行业,220505,未知行业
688067,,行业分类,申万行业,370504,医药生物
300261,,行业分类,申万行业,220803,商业贸易
688068,,行业分类,申万行业,370504,医药生物
600763,,行业分类,申万行业,370604,医药生物
600836,,行业分类,申万行业,360202,医药生物
688004,,行业分类,申万行业,710301,公用事业
600663,,行业分类,申万行业,430102,机械设备
002022,,行业分类,申万行业,370504,医药生物
600690,,行业分类,申万行业,330106,医药生物
002019,,行业分类,申万行业,370102,医药生物
300381,,行业分类,申万行业,370101,医药生物
002067,,行业分类,申万行业,360102,医药生物
002071,,行业分类,申万行业,720601,公用事业
600829,,行业分类,申万行业,370402,医药生物
300249,,行业分类,申万行业,710103,公用事业
002012,,行业分类,申万行业,360103,医药生物
688060,,行业分类,申万行业,710103,公用事业
300255,,行业分类,申万行业,370102,医药生物
600749,,行业分类,申万行业,461003,机械设备
600833,,行业分类,申万行业,370403,医药生物
600691,,行业分类,申万行业,220801,商业贸易
300273,,行业分类,申万行业,370502,医药生物
000971,,行业分类,申万行业,730104,公用事业
600731,,行业分类,申万行业,220803,商业贸易
300206,,行业分类,申万行业,370502,医药生物
000985,,行业分类,申万行业,750303,公用事业
688051,,行业分类,申万行业,710301,公用事业
300321,,行业分类,申万行业,220313,未知行业
300238,,行业分类,申万行业,370503,医药生物
300358,,行业分类,申万行业,370502,医药生物
300239,,行业分类,申万行业,370304,医药生物
688039,,行业分类,申万行业,710301,公用事业
688038,,行业分类,申万行业,710401,公用事业
300180,,行业分类,申万行业,220501,未知行业
600713,,行业分类,申万行业,370402,医药生物
688050,,行业分类,申万行业,370503,医药生物
000995,,行业分类,申万行业,340501,医药生物
600695,,行业分类,申万行业,490307,机械设备
000990,,行业分类,申万行业,220205,未知行业
600793,,行业分类,申万行业,360103,医药生物
