股东代码,股东名称,股票代码,股票简称,报告期,公告日,数量,流通市值
10108216,中国诚通控股集团有限公司,601198,东兴证券,2022-09-30,2022-10-29,28590000,212000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2022-06-30,2022-08-26,28590000,254000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2021-06-30,2021-08-27,28590000,313000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2021-03-31,2021-04-29,28590000,313000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-12-31,2021-04-22,28590000,381000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-09-30,2020-10-31,28590000,367000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-06-30,2020-08-28,28590000,312000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2020-03-31,2020-04-30,28590000,312000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-12-31,2020-04-30,28590000,376000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-09-30,2019-10-30,28590000,313000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-06-30,2019-08-28,28590000,340000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2019-03-31,2019-04-27,28590000,395000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2018-12-31,2019-04-27,28590000,273000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2018-09-30,2018-10-31,28590000,293000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2017-12-31,2018-04-27,28590000,412000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2017-09-30,2017-10-28,28590000,526000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2017-06-30,2017-08-19,28590000,493000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2017-03-31,2017-04-24,28590000,526000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2016-12-31,2017-04-24,28590000,574000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2016-09-30,2016-10-28,40470000,889000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2016-06-30,2016-08-30,40470000,989000000
10108216,中国诚通控股集团有限公司,601198,东兴证券,2016-03-31,2016-04-30,40470000,1092000000
10529245,国新投资有限公司,688037,芯源微,2025-09-30,2025-10-31,5017000,747000000
10529245,国新投资有限公司,601919,中远海控,2025-09-30,2025-10-31,229999999,3304999999
10529245,国新投资有限公司,601611,中国核建,2025-09-30,2025-10-31,30210000,267000000
10529245,国新投资有限公司,601106,中国一重,2025-09-30,2025-10-31,274000000,809000000
10529245,国新投资有限公司,600938,中国海油,2025-09-30,2025-10-31,153000000,4001000000
10529245,国新投资有限公司,600764,中国海防,2025-09-30,2025-10-31,5464000,171000000
10529245,国新投资有限公司,600313,农发种业,2025-09-30,2025-10-31,32480000,202000000
10529245,国新投资有限公司,600206,有研新材,2025-09-30,2025-10-31,13020000,293000000
10529245,国新投资有限公司,002371,北方华创,2025-09-30,2025-10-31,8592000,3886999999
10529245,国新投资有限公司,688702,盛科通信,2025-09-30,2025-10-30,5182000,656000000
10529245,国新投资有限公司,600038,中直股份,2025-09-30,2025-10-30,12370000,448000000
10529245,国新投资有限公司,301269,华大九天,2025-09-30,2025-10-30,21770000,2749000000
10529245,国新投资有限公司,003031,中瓷电子,2025-09-30,2025-10-29,19220000,1163000000
10529245,国新投资有限公司,688692,达梦数据,2025-09-30,2025-10-28,2361000,622000000
10529245,国新投资有限公司,600480,凌云股份,2025-09-30,2025-10-28,29520000,411000000
10529245,国新投资有限公司,000657,中钨高新,2025-09-30,2025-10-27,78470000,1462000000
10529245,国新投资有限公司,601088,中国神华,2025-09-30,2025-10-25,92150000,3547999999
10529245,国新投资有限公司,600535,天士力,2025-09-30,2025-10-25,74700000,1180000000
10529245,国新投资有限公司,300073,当升科技,2025-09-30,2025-10-25,14790000,982000000
10529245,国新投资有限公司,002281,光迅科技,2025-09-30,2025-10-25,29120000,1939000000
10529245,国新投资有限公司,000999,华润三九,2025-09-30,2025-10-25,6473000,182000000
10529245,国新投资有限公司,300797,钢研纳克,2025-09-30,2025-10-24,15360000,259000000
10529245,国新投资有限公司,300034,钢研高纳,2025-09-30,2025-10-24,28060000,455999999
10529245,国新投资有限公司,600941,中国移动,2025-09-30,2025-10-21,25520000,2672000000
10529245,国新投资有限公司,601899,紫金矿业,2025-09-30,2025-10-18,177000000,5205000000
10529245,国新投资有限公司,601919,中远海控,2025-10-10,2025-10-16,229999999,3346000000
10529245,国新投资有限公司,601088,中国神华,2025-06-30,2025-08-30,100000000,4065000000
10529245,国新投资有限公司,600378,昊华科技,2025-06-30,2025-08-30,30770000,833000000
10529245,国新投资有限公司,600150,中国船舶,2025-06-30,2025-08-30,42140000,1371000000
10529245,国新投资有限公司,600038,中直股份,2025-06-30,2025-08-30,12370000,480000000
10529245,国新投资有限公司,688120,华海清科,2025-06-30,2025-08-29,7495000,1264000000
10529245,国新投资有限公司,601919,中远海控,2025-06-30,2025-08-29,229999999,3465999999
10529245,国新投资有限公司,601611,中国核建,2025-06-30,2025-08-29,30210000,278000000
10529245,国新投资有限公司,600764,中国海防,2025-06-30,2025-08-29,11620000,395000000
10529245,国新投资有限公司,003031,中瓷电子,2025-06-30,2025-08-29,19220000,1023000000
10529245,国新投资有限公司,002371,北方华创,2025-06-30,2025-08-29,6289000,2781000000
10529245,国新投资有限公司,600938,中国海油,2025-06-30,2025-08-28,169000000,4400000000
10529245,国新投资有限公司,002281,光迅科技,2025-06-30,2025-08-28,28900000,1426000000
10529245,国新投资有限公司,300797,钢研纳克,2025-06-30,2025-08-27,15360000,213000000
10529245,国新投资有限公司,300073,当升科技,2025-06-30,2025-08-27,6147000,270000000
10529245,国新投资有限公司,000657,中钨高新,2025-06-30,2025-08-27,71380000,847000000
10529245,国新投资有限公司,601106,中国一重,2025-06-30,2025-08-26,274000000,768000000
10529245,国新投资有限公司,600480,凌云股份,2025-06-30,2025-08-26,29520000,359000000
10529245,国新投资有限公司,300034,钢研高纳,2025-06-30,2025-08-26,28060000,467000000
10529245,国新投资有限公司,688702,盛科通信,2025-06-30,2025-08-25,6345000,388000000
10529245,国新投资有限公司,900926,宝信B,2025-06-30,2025-08-19,22800000,30890000
10529245,国新投资有限公司,600845,宝信软件,2025-06-30,2025-08-19,22800000,538000000
10529245,国新投资有限公司,601088,中国神华,2025-08-01,2025-08-16,90050000,3382000000
10529245,国新投资有限公司,600535,天士力,2025-06-30,2025-08-16,74700000,1169000000
10529245,国新投资有限公司,301269,华大九天,2025-06-30,2025-08-16,21770000,2696000000
10529245,国新投资有限公司,600941,中国移动,2025-06-30,2025-08-08,25520000,2873000000
10529245,国新投资有限公司,688041,海光信息,2025-06-30,2025-08-06,17550000,2479000000
10529245,国新投资有限公司,688041,海光信息,2025-05-23,2025-06-10,17550000,2389000000
10529245,国新投资有限公司,688072,拓荆科技,2025-03-31,2025-04-30,2615000,412000000
10529245,国新投资有限公司,601919,中远海控,2025-03-31,2025-04-30,229999999,3353000000
10529245,国新投资有限公司,601611,中国核建,2025-03-31,2025-04-30,30210000,263000000
10529245,国新投资有限公司,600938,中国海油,2025-03-31,2025-04-30,210000000,5465000000
10529245,国新投资有限公司,600764,中国海防,2025-03-31,2025-04-30,12560000,352000000
10529245,国新投资有限公司,600378,昊华科技,2025-03-31,2025-04-30,38990000,1039000000
10529245,国新投资有限公司,600150,中国船舶,2025-03-31,2025-04-30,42140000,1285000000
10529245,国新投资有限公司,601611,中国核建,2024-12-31,2025-04-30,30210000,273000000
10529245,国新投资有限公司,600886,国投电力,2024-12-31,2025-04-30,48350000,803999999
10529245,国新投资有限公司,600764,中国海防,2024-12-31,2025-04-30,12560000,356000000
10529245,国新投资有限公司,600378,昊华科技,2024-12-31,2025-04-30,46800000,1353000000
10529245,国新投资有限公司,600150,中国船舶,2024-12-31,2025-04-30,42130000,1515000000
10529245,国新投资有限公司,688120,华海清科,2025-03-31,2025-04-29,9146000,1512000000
10529245,国新投资有限公司,600535,天士力,2025-03-31,2025-04-29,74700000,1129000000
10529245,国新投资有限公司,600480,凌云股份,2025-03-31,2025-04-29,18800000,311000000
10529245,国新投资有限公司,600038,中直股份,2025-03-31,2025-04-29,22700000,830000000
10529245,国新投资有限公司,301269,华大九天,2025-03-31,2025-04-29,21770000,2513000000
10529245,国新投资有限公司,000983,山西焦煤,2025-03-31,2025-04-29,178000000,1225000000
10529245,国新投资有限公司,688120,华海清科,2024-12-31,2025-04-29,8850000,1442000000
10529245,国新投资有限公司,000983,山西焦煤,2024-12-31,2025-04-29,222000000,1830000000
10529245,国新投资有限公司,000537,中绿电,2024-12-31,2025-04-29,33220000,303000000
10529245,国新投资有限公司,688702,盛科通信,2025-03-31,2025-04-28,8044000,520000000
10529245,国新投资有限公司,300797,钢研纳克,2025-03-31,2025-04-28,15360000,209000000
10529245,国新投资有限公司,688702,盛科通信,2024-12-31,2025-04-28,7156000,601000000
10529245,国新投资有限公司,301269,华大九天,2024-12-31,2025-04-28,21720000,2630000000
10529245,国新投资有限公司,900926,宝信B,2025-03-31,2025-04-26,86880000,154000000
10529245,国新投资有限公司,688146,中船特气,2025-03-31,2025-04-26,5400000,154000000
10529245,国新投资有限公司,601958,金钼股份,2025-03-31,2025-04-26,28380000,300000000
10529245,国新投资有限公司,601088,中国神华,2025-03-31,2025-04-26,60320000,2313000000
10529245,国新投资有限公司,600845,宝信软件,2025-03-31,2025-04-26,86880000,2649000000
10529245,国新投资有限公司,600720,中交设计,2025-03-31,2025-04-26,62050000,526000000
10529245,国新投资有限公司,002371,北方华创,2025-03-31,2025-04-26,6250000,2600000000
10529245,国新投资有限公司,688146,中船特气,2024-12-31,2025-04-26,5400000,157000000
10529245,国新投资有限公司,002371,北方华创,2024-12-31,2025-04-26,6183000,2418000000
10529245,国新投资有限公司,688012,中微公司,2025-03-31,2025-04-25,9295000,1714000000
10529245,国新投资有限公司,300073,当升科技,2025-03-31,2025-04-25,16170000,671000000
10529245,国新投资有限公司,003031,中瓷电子,2025-03-31,2025-04-25,19220000,880000000
10529245,国新投资有限公司,000657,中钨高新,2025-03-31,2025-04-25,68890000,683000000
10529245,国新投资有限公司,003031,中瓷电子,2024-12-31,2025-04-25,20460000,1072000000
10529245,国新投资有限公司,000657,中钨高新,2024-12-31,2025-04-25,68890000,634000000
10529245,国新投资有限公司,300034,钢研高纳,2025-03-31,2025-04-24,28060000,454000000
10529245,国新投资有限公司,002281,光迅科技,2025-03-31,2025-04-24,28890000,1324000000
10529245,国新投资有限公司,300034,钢研高纳,2024-12-31,2025-04-24,31920000,498000000
10529245,国新投资有限公司,002281,光迅科技,2024-12-31,2025-04-24,24360000,1271000000
10529245,国新投资有限公司,600941,中国移动,2025-03-31,2025-04-23,25520000,2740000000
10529245,国新投资有限公司,688041,海光信息,2025-03-31,2025-04-22,17350000,2451000000
10529245,国新投资有限公司,688012,中微公司,2024-12-31,2025-04-18,9294000,1757999999
10529245,国新投资有限公司,300797,钢研纳克,2024-12-31,2025-04-17,15360000,181000000
10529245,国新投资有限公司,601919,中远海控,2025-04-07,2025-04-16,229999999,2936000000
10529245,国新投资有限公司,688475,萤石网络,2025-03-31,2025-04-12,9988000,384000000
10529245,国新投资有限公司,688475,萤石网络,2024-12-31,2025-04-12,9988000,302000000
10529245,国新投资有限公司,601168,西部矿业,2024-12-31,2025-04-12,27400000,440000000
10529245,国新投资有限公司,601958,金钼股份,2024-12-31,2025-04-03,28310000,285000000
10529245,国新投资有限公司,900926,宝信B,2024-12-31,2025-04-01,86880000,139000000
10529245,国新投资有限公司,600845,宝信软件,2024-12-31,2025-04-01,86880000,2542000000
10529245,国新投资有限公司,300073,当升科技,2024-12-31,2025-04-01,16170000,651000000
10529245,国新投资有限公司,600038,中直股份,2024-12-31,2025-03-29,29670000,1144000000
10529245,国新投资有限公司,688347,华虹公司,2024-12-31,2025-03-28,27920000,1297000000
10529245,国新投资有限公司,600938,中国海油,2024-12-31,2025-03-28,260000000,7678000000
10529245,国新投资有限公司,600720,中交设计,2024-12-31,2025-03-28,62050000,550000000
10529245,国新投资有限公司,600028,中国石化,2024-12-31,2025-03-24,392000000,2619000000
10529245,国新投资有限公司,601919,中远海控,2024-12-31,2025-03-22,229999999,3572000000
10529245,国新投资有限公司,601898,中煤能源,2024-12-31,2025-03-22,96770000,1179000000
10529245,国新投资有限公司,601088,中国神华,2024-12-31,2025-03-22,75280000,3272999999
10529245,国新投资有限公司,600941,中国移动,2024-12-31,2025-03-21,25520000,3016000000
10529245,国新投资有限公司,688041,海光信息,2024-12-31,2025-03-01,16980000,2544000000
10529245,国新投资有限公司,601919,中远海控,2024-11-06,2024-11-08,229999999,3447000000
10529245,国新投资有限公司,688347,华虹公司,2024-09-30,2024-11-08,27810000,1050000000
10529245,国新投资有限公司,688702,盛科通信,2024-09-30,2024-10-31,6724000,309000000
10529245,国新投资有限公司,688146,中船特气,2024-09-30,2024-10-31,5400000,170000000
10529245,国新投资有限公司,601919,中远海控,2024-09-30,2024-10-31,333000000,5236000000
10529245,国新投资有限公司,600720,中交设计,2024-09-30,2024-10-31,62050000,620000000
10529245,国新投资有限公司,600378,昊华科技,2024-09-30,2024-10-31,46800000,1486000000
10529245,国新投资有限公司,600058,五矿发展,2024-09-30,2024-10-31,17890000,140000000
10529245,国新投资有限公司,003031,中瓷电子,2024-09-30,2024-10-31,20420000,950000000
10529245,国新投资有限公司,900926,宝信B,2024-09-30,2024-10-30,86880000,149000000
10529245,国新投资有限公司,601857,中国石油,2024-09-30,2024-10-30,252999999,2283000000
10529245,国新投资有限公司,600845,宝信软件,2024-09-30,2024-10-30,86880000,2866000000
10529245,国新投资有限公司,600764,中国海防,2024-09-30,2024-10-30,16440000,413000000
10529245,国新投资有限公司,600038,中直股份,2024-09-30,2024-10-30,29650000,1237000000
10529245,国新投资有限公司,301269,华大九天,2024-09-30,2024-10-30,22840000,2123999999
10529245,国新投资有限公司,300212,易华录,2024-09-30,2024-10-30,3077000,75390000
10529245,国新投资有限公司,000983,山西焦煤,2024-09-30,2024-10-30,222000000,2120000000
10529245,国新投资有限公司,601958,金钼股份,2024-09-30,2024-10-29,24030000,286000000
10529245,国新投资有限公司,600938,中国海油,2024-09-30,2024-10-29,260000000,7800000000
