股票代码,市场类型,行业链接
002103,sz,360501
002104,sz,730206
002105,sz,280401
002106,sz,270301
002107,sz,370201
002108,sz,220501
002109,sz,220204
002110,sz,230401
002111,sz,650201
002112,sz,630801
002114,sz,240303
002115,sz,730103
002116,sz,620404
002117,sz,360202
002119,sz,270103
002120,sz,420804
002121,sz,630804
002122,sz,640101
002123,sz,730104
002124,sz,110702
002125,sz,630702
002126,sz,280203
002127,sz,450603
002128,sz,740101
002129,sz,630501
002130,sz,270401
002131,sz,640108
002132,sz,640108
002133,sz,430101
002134,sz,270202
002135,sz,620401
002136,sz,220206
002137,sz,270302
002138,sz,270203
002139,sz,270504
002140,sz,620402
002141,sz,110801
002142,sz,480401
002144,sz,350106
002145,sz,220206
002146,sz,430101
002148,sz,730104
002149,sz,240504
002150,sz,640108
002151,sz,650501
002152,sz,710103
002153,sz,710401
002154,sz,350209
002155,sz,240401
002156,sz,270107
002157,sz,110702
002158,sz,640105
002159,sz,461003
002160,sz,240301
002161,sz,270401
002162,sz,360306
002163,sz,620201
002164,sz,640108
002165,sz,220313
002166,sz,220315
002167,sz,240504
002168,sz,630802
002169,sz,630803
002170,sz,220805
002171,sz,240302
002172,sz,370604
002173,sz,370604
002174,sz,720401
002175,sz,640107
002176,sz,630101
002177,sz,710103
002178,sz,710401
002179,sz,650501
002180,sz,710103
002181,sz,720902
002182,sz,240504
002183,sz,450201
002184,sz,640702
002185,sz,270107
002186,sz,460902
002187,sz,450301
002188,sz,430301
002189,sz,650501
002190,sz,280205
002191,sz,360205
002192,sz,240603
002193,sz,350209
002194,sz,730204
002195,sz,710301
002196,sz,630101
002197,sz,710103
002198,sz,370201
002199,sz,270203
002200,sz,620307
002201,sz,610202
002202,sz,630601
002203,sz,240302
002204,sz,640203
002205,sz,610102
002206,sz,220401
002207,sz,750201
002208,sz,430101
002209,sz,640208
002210,sz,760103
002211,sz,220316
002212,sz,710402
002213,sz,270104
002214,sz,650501
002215,sz,110103
002216,sz,340406
002217,sz,270301
002218,sz,410106
002219,sz,370604
002221,sz,750303
